conference,conference_slug,conference_url,track,label,start_date,end_date,date_text,timezone,confidence,needs_review,source_url,extracted_at_utc,track_original,track_category,deadline_type
CHASE 2027,chase-2027,https://conf.researchr.org/home/chase-2027,Doctoral and Early Career Symposium (DECS),Deadline for submissions,2027-01-28,,Thu 28 Jan 2027,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/chase-2027/chase-2027-decs-papers,2026-09-01T14:59:58.171505+00:00,Doctoral and Early Career Symposium (DECS),Doctoral Symposium,other_submission
CHASE 2027,chase-2027,https://conf.researchr.org/home/chase-2027,Doctoral and Early Career Symposium (DECS),Notification of acceptance,2027-02-04,,Thu 4 Feb 2027,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/chase-2027/chase-2027-decs-papers,2026-09-01T14:59:58.171505+00:00,Doctoral and Early Career Symposium (DECS),Doctoral Symposium,notification
CHASE 2027,chase-2027,https://conf.researchr.org/home/chase-2027,Doctoral and Early Career Symposium (DECS),Feedback from committee,2027-03-11,,Thu 11 Mar 2027,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/chase-2027/chase-2027-decs-papers,2026-09-01T14:59:58.171505+00:00,Doctoral and Early Career Symposium (DECS),Doctoral Symposium,other
CHASE 2027,chase-2027,https://conf.researchr.org/home/chase-2027,Doctoral and Early Career Symposium (DECS),Final version of paper due,2027-04-01,,Thu 1 Apr 2027,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/chase-2027/chase-2027-decs-papers,2026-09-01T14:59:58.171505+00:00,Doctoral and Early Career Symposium (DECS),Doctoral Symposium,camera_ready
CHASE 2027,chase-2027,https://conf.researchr.org/home/chase-2027,Doctoral and Early Career Symposium (DECS),Virtual DECS Sessions,2027-04-07,2027-04-08,Wed 7 - Thu 8 Apr 2027,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/chase-2027/chase-2027-decs-papers,2026-09-01T14:59:58.171505+00:00,Doctoral and Early Career Symposium (DECS),Doctoral Symposium,other
CHASE 2027,chase-2027,https://conf.researchr.org/home/chase-2027,Doctoral and Early Career Symposium (DECS),Participate in CHASE Conference,2027-04-26,2027-04-27,Mon 26 - Tue 27 Apr 2027,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/chase-2027/chase-2027-decs-papers,2026-09-01T14:59:58.171505+00:00,Doctoral and Early Career Symposium (DECS),Doctoral Symposium,conference_date
CHASE 2027,chase-2027,https://conf.researchr.org/home/chase-2027,Research Track,Abstract submission,2026-10-16,,Fri 16 Oct 2026,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/chase-2027/chase-2027-papers,2026-09-01T14:59:58.171505+00:00,Research Track,Research,abstract_submission
CHASE 2027,chase-2027,https://conf.researchr.org/home/chase-2027,Research Track,Paper Submission,2026-10-23,,Fri 23 Oct 2026,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/chase-2027/chase-2027-papers,2026-09-01T14:59:58.171505+00:00,Research Track,Research,paper_submission
CHASE 2027,chase-2027,https://conf.researchr.org/home/chase-2027,Research Track,Notification,2026-12-18,,Fri 18 Dec 2026,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/chase-2027/chase-2027-papers,2026-09-01T14:59:58.171505+00:00,Research Track,Research,notification
CHASE 2027,chase-2027,https://conf.researchr.org/home/chase-2027,Research Track,Camera-ready Submission,2027-01-29,,Fri 29 Jan 2027,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/chase-2027/chase-2027-papers,2026-09-01T14:59:58.171505+00:00,Research Track,Research,camera_ready
