conference,conference_slug,conference_url,track,label,start_date,end_date,date_text,timezone,confidence,needs_review,source_url,extracted_at_utc,track_original,track_category,deadline_type
FSE 2027,fse-2027,https://conf.researchr.org/home/fse-2027,Industry Papers,Submission deadline,2027-01-23,,Sat 23 Jan 2027,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/fse-2027/fse-2027-industry-papers,2026-09-01T14:59:44.225312+00:00,Industry Papers,Industry,paper_submission
FSE 2027,fse-2027,https://conf.researchr.org/home/fse-2027,Industry Papers,Author notification,2027-03-20,,Sat 20 Mar 2027,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/fse-2027/fse-2027-industry-papers,2026-09-01T14:59:44.225312+00:00,Industry Papers,Industry,notification
FSE 2027,fse-2027,https://conf.researchr.org/home/fse-2027,Industry Papers,Camera ready,2027-04-03,,Sat 3 Apr 2027,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/fse-2027/fse-2027-industry-papers,2026-09-01T14:59:44.225312+00:00,Industry Papers,Industry,camera_ready
FSE 2027,fse-2027,https://conf.researchr.org/home/fse-2027,Research Papers,Full paper submission,2026-10-02,,Fri 2 Oct 2026,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/fse-2027/fse-2027-papers,2026-09-01T14:59:44.225312+00:00,Research Papers,Research,paper_submission
FSE 2027,fse-2027,https://conf.researchr.org/home/fse-2027,Research Papers,Author response period,2026-12-14,2026-12-18,Mon 14 - Fri 18 Dec 2026,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/fse-2027/fse-2027-papers,2026-09-01T14:59:44.225312+00:00,Research Papers,Research,author_response
FSE 2027,fse-2027,https://conf.researchr.org/home/fse-2027,Research Papers,Initial notification,2027-01-22,,Fri 22 Jan 2027,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/fse-2027/fse-2027-papers,2026-09-01T14:59:44.225312+00:00,Research Papers,Research,notification
FSE 2027,fse-2027,https://conf.researchr.org/home/fse-2027,Research Papers,Major revision submission,2027-03-05,,Fri 5 Mar 2027,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/fse-2027/fse-2027-papers,2026-09-01T14:59:44.225312+00:00,Research Papers,Research,other_submission
FSE 2027,fse-2027,https://conf.researchr.org/home/fse-2027,Research Papers,Final notification,2027-03-31,,Wed 31 Mar 2027,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/fse-2027/fse-2027-papers,2026-09-01T14:59:44.225312+00:00,Research Papers,Research,notification
FSE 2027,fse-2027,https://conf.researchr.org/home/fse-2027,Software Engineering Education,Submission deadline,2027-01-29,,"January 29, 2027",,medium,True,https://conf.researchr.org/track/fse-2027/fse-2027-software-engineering-education,2026-09-01T14:59:44.225312+00:00,Software Engineering Education,Education,paper_submission
FSE 2027,fse-2027,https://conf.researchr.org/home/fse-2027,Software Engineering Education,Author notification,2027-03-26,,"March 26, 2027",,medium,True,https://conf.researchr.org/track/fse-2027/fse-2027-software-engineering-education,2026-09-01T14:59:44.225312+00:00,Software Engineering Education,Education,notification
FSE 2027,fse-2027,https://conf.researchr.org/home/fse-2027,Software Engineering Education,Camera-ready deadline,2027-04-16,,"April 16, 2027",,medium,True,https://conf.researchr.org/track/fse-2027/fse-2027-software-engineering-education,2026-09-01T14:59:44.225312+00:00,Software Engineering Education,Education,camera_ready
FSE 2027,fse-2027,https://conf.researchr.org/home/fse-2027,Workshops,Deadline for workshop proposals submission,2026-10-15,,Thu 15 Oct 2026,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/fse-2027/fse-2027-workshops,2026-09-01T14:59:44.225312+00:00,Workshops,Workshops,other_submission
FSE 2027,fse-2027,https://conf.researchr.org/home/fse-2027,Workshops,Deadline for notification,2026-11-13,,Fri 13 Nov 2026,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/fse-2027/fse-2027-workshops,2026-09-01T14:59:44.225312+00:00,Workshops,Workshops,notification
FSE 2027,fse-2027,https://conf.researchr.org/home/fse-2027,Workshops,Workshop Paper Deadlines,2027-02-11,,Thu 11 Feb 2027,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/fse-2027/fse-2027-workshops,2026-09-01T14:59:44.225312+00:00,Workshops,Workshops,conference_date
