conference,conference_slug,conference_url,track,label,start_date,end_date,date_text,timezone,confidence,needs_review,source_url,extracted_at_utc,deadline_time,track_original,track_category,deadline_type
MSR 2027,msr-2027,https://conf.researchr.org/home/msr-2027,Data and Tool Showcase Track MSR 2027,Abstract Deadline,2026-11-05,,Thu 5 Nov 2026,AoE (UTC-12:00),high,False,https://2027.msrconf.org/track/msr-2027-data-and-tool-showcase-track,2026-09-04T17:08:28.417034+00:00,,Data and Tool Showcase Track MSR 2027,"Tools, Demos & Data",abstract_submission
MSR 2027,msr-2027,https://conf.researchr.org/home/msr-2027,Data and Tool Showcase Track MSR 2027,Paper Deadline,2026-11-10,,Tue 10 Nov 2026,AoE (UTC-12:00),high,False,https://2027.msrconf.org/track/msr-2027-data-and-tool-showcase-track,2026-09-04T17:08:28.417034+00:00,,Data and Tool Showcase Track MSR 2027,"Tools, Demos & Data",paper_submission
MSR 2027,msr-2027,https://conf.researchr.org/home/msr-2027,Data and Tool Showcase Track MSR 2027,Acceptance Notification,2027-01-05,,Tue 5 Jan 2027,AoE (UTC-12:00),high,False,https://2027.msrconf.org/track/msr-2027-data-and-tool-showcase-track,2026-09-04T17:08:28.417034+00:00,,Data and Tool Showcase Track MSR 2027,"Tools, Demos & Data",notification
MSR 2027,msr-2027,https://conf.researchr.org/home/msr-2027,Data and Tool Showcase Track MSR 2027,Camera Ready Deadline,2027-01-24,,Sun 24 Jan 2027,AoE (UTC-12:00),high,False,https://2027.msrconf.org/track/msr-2027-data-and-tool-showcase-track,2026-09-04T17:08:28.417034+00:00,,Data and Tool Showcase Track MSR 2027,"Tools, Demos & Data",camera_ready
MSR 2027,msr-2027,https://conf.researchr.org/home/msr-2027,Industry Track MSR 2027,Paper Deadline,2026-12-18,,Fri 18 Dec 2026,AoE (UTC-12:00),high,False,https://2027.msrconf.org/track/msr-2027-industry-track,2026-09-04T17:08:28.417034+00:00,,Industry Track MSR 2027,Industry,paper_submission
MSR 2027,msr-2027,https://conf.researchr.org/home/msr-2027,Industry Track MSR 2027,Author Notification,2027-01-11,,Mon 11 Jan 2027,AoE (UTC-12:00),high,False,https://2027.msrconf.org/track/msr-2027-industry-track,2026-09-04T17:08:28.417034+00:00,,Industry Track MSR 2027,Industry,notification
MSR 2027,msr-2027,https://conf.researchr.org/home/msr-2027,Industry Track MSR 2027,Camera Ready Deadline,2027-01-22,,Fri 22 Jan 2027,AoE (UTC-12:00),high,False,https://2027.msrconf.org/track/msr-2027-industry-track,2026-09-04T17:08:28.417034+00:00,,Industry Track MSR 2027,Industry,camera_ready
MSR 2027,msr-2027,https://conf.researchr.org/home/msr-2027,Junior PC MSR 2027,Junior PC Self-Nomination Deadline,2026-09-15,,Tue 15 Sep 2026,AoE (UTC-12:00),high,False,https://2027.msrconf.org/track/msr-2027-junior-pc,2026-09-04T17:08:28.417034+00:00,,Junior PC MSR 2027,Mentoring & Community,other_submission
MSR 2027,msr-2027,https://conf.researchr.org/home/msr-2027,Junior PC MSR 2027,Announcement of Junior PC Members,2026-10-05,,Mon 5 Oct 2026,AoE (UTC-12:00),high,False,https://2027.msrconf.org/track/msr-2027-junior-pc,2026-09-04T17:08:28.417034+00:00,,Junior PC MSR 2027,Mentoring & Community,other
MSR 2027,msr-2027,https://conf.researchr.org/home/msr-2027,Junior PC MSR 2027,MSR Review Tutorial,2026-10-07,2026-10-18,Wed 7 - Sun 18 Oct 2026,AoE (UTC-12:00),high,False,https://2027.msrconf.org/track/msr-2027-junior-pc,2026-09-04T17:08:28.417034+00:00,,Junior PC MSR 2027,Mentoring & Community,other
MSR 2027,msr-2027,https://conf.researchr.org/home/msr-2027,Mining Challenge MSR 2027,Deadline for Proposals,2026-08-03,,Mon 3 Aug 2026,AoE (UTC-12:00),high,False,https://2027.msrconf.org/track/msr-2027-mining-challenge,2026-09-04T17:08:28.417034+00:00,,Mining Challenge MSR 2027,Competitions & Challenges,other_submission
MSR 2027,msr-2027,https://conf.researchr.org/home/msr-2027,Mining Challenge MSR 2027,Notification,2026-08-07,,Fri 7 Aug 2026,AoE (UTC-12:00),high,False,https://2027.msrconf.org/track/msr-2027-mining-challenge,2026-09-04T17:08:28.417034+00:00,,Mining Challenge MSR 2027,Competitions & Challenges,notification
MSR 2027,msr-2027,https://conf.researchr.org/home/msr-2027,Mining Challenge MSR 2027,Abstract Deadline,2026-12-18,,Fri 18 Dec 2026,AoE (UTC-12:00),high,False,https://2027.msrconf.org/track/msr-2027-mining-challenge,2026-09-04T17:08:28.417034+00:00,,Mining Challenge MSR 2027,Competitions & Challenges,abstract_submission
MSR 2027,msr-2027,https://conf.researchr.org/home/msr-2027,Mining Challenge MSR 2027,Paper Deadline,2026-12-23,,Wed 23 Dec 2026,AoE (UTC-12:00),high,False,https://2027.msrconf.org/track/msr-2027-mining-challenge,2026-09-04T17:08:28.417034+00:00,,Mining Challenge MSR 2027,Competitions & Challenges,paper_submission
MSR 2027,msr-2027,https://conf.researchr.org/home/msr-2027,Mining Challenge MSR 2027,Author Notification,2027-01-19,,Tue 19 Jan 2027,AoE (UTC-12:00),high,False,https://2027.msrconf.org/track/msr-2027-mining-challenge,2026-09-04T17:08:28.417034+00:00,,Mining Challenge MSR 2027,Competitions & Challenges,notification
MSR 2027,msr-2027,https://conf.researchr.org/home/msr-2027,Mining Challenge MSR 2027,Camera Ready Deadline,2027-01-26,,Tue 26 Jan 2027,AoE (UTC-12:00),high,False,https://2027.msrconf.org/track/msr-2027-mining-challenge,2026-09-04T17:08:28.417034+00:00,,Mining Challenge MSR 2027,Competitions & Challenges,camera_ready
