conference,conference_slug,conference_url,track,label,start_date,end_date,date_text,timezone,confidence,needs_review,source_url,extracted_at_utc,deadline_time,track_original,track_category,deadline_type
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Agentic AI4SE Track,Abstract submission (mandatory),2026-10-19,,Mon 19 Oct 2026,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-agentic-ai4se-track,2026-09-04T17:08:46.964716+00:00,,Agentic AI4SE Track,Research,abstract_submission
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Agentic AI4SE Track,Paper submission deadline,2026-10-23,,Fri 23 Oct 2026,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-agentic-ai4se-track,2026-09-04T17:08:46.964716+00:00,,Agentic AI4SE Track,Research,paper_submission
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Agentic AI4SE Track,Notifications,2026-12-08,,Tue 8 Dec 2026,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-agentic-ai4se-track,2026-09-04T17:08:46.964716+00:00,,Agentic AI4SE Track,Research,other
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Agentic AI4SE Track,Author registration deadline,2027-01-08,,Fri 8 Jan 2027,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-agentic-ai4se-track,2026-09-04T17:08:46.964716+00:00,,Agentic AI4SE Track,Research,registration
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Agentic AI4SE Track,Camera Ready,2027-01-08,,Fri 8 Jan 2027,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-agentic-ai4se-track,2026-09-04T17:08:46.964716+00:00,,Agentic AI4SE Track,Research,camera_ready
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Early Research Achievement (ERA) Track,Abstract submission (mandatory),2026-10-19,,Mon 19 Oct 2026,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-early-research-achievement-era--track,2026-09-04T17:08:46.964716+00:00,,Early Research Achievement (ERA) Track,New Ideas & Emerging Results,abstract_submission
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Early Research Achievement (ERA) Track,Paper submission deadline,2026-10-23,,Fri 23 Oct 2026,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-early-research-achievement-era--track,2026-09-04T17:08:46.964716+00:00,,Early Research Achievement (ERA) Track,New Ideas & Emerging Results,paper_submission
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Early Research Achievement (ERA) Track,Notifications,2026-12-08,,Tue 8 Dec 2026,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-early-research-achievement-era--track,2026-09-04T17:08:46.964716+00:00,,Early Research Achievement (ERA) Track,New Ideas & Emerging Results,other
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Early Research Achievement (ERA) Track,Author registration deadline,2027-01-08,,Fri 8 Jan 2027,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-early-research-achievement-era--track,2026-09-04T17:08:46.964716+00:00,,Early Research Achievement (ERA) Track,New Ideas & Emerging Results,registration
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Early Research Achievement (ERA) Track,Camera Ready,2027-01-08,,Fri 8 Jan 2027,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-early-research-achievement-era--track,2026-09-04T17:08:46.964716+00:00,,Early Research Achievement (ERA) Track,New Ideas & Emerging Results,camera_ready
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Industrial Track,Abstract submission (mandatory),2026-10-19,,Mon 19 Oct 2026,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-industrial-track,2026-09-04T17:08:46.964716+00:00,,Industrial Track,Industry,abstract_submission
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Industrial Track,Paper submission deadline,2026-10-23,,Fri 23 Oct 2026,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-industrial-track,2026-09-04T17:08:46.964716+00:00,,Industrial Track,Industry,paper_submission
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Industrial Track,Notifications,2026-12-08,,Tue 8 Dec 2026,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-industrial-track,2026-09-04T17:08:46.964716+00:00,,Industrial Track,Industry,other
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Industrial Track,Author registration deadline,2027-01-08,,Fri 8 Jan 2027,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-industrial-track,2026-09-04T17:08:46.964716+00:00,,Industrial Track,Industry,registration
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Industrial Track,Camera Ready,2027-01-08,,Fri 8 Jan 2027,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-industrial-track,2026-09-04T17:08:46.964716+00:00,,Industrial Track,Industry,camera_ready
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Research Track,Abstract submission (mandatory),2026-09-21,,Mon 21 Sep 2026,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-papers,2026-09-04T17:08:46.964716+00:00,,Research Track,Research,abstract_submission
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Research Track,Paper submission,2026-09-25,,Fri 25 Sep 2026,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-papers,2026-09-04T17:08:46.964716+00:00,,Research Track,Research,paper_submission
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Research Track,Notification,2026-12-01,,Tue 1 Dec 2026,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-papers,2026-09-04T17:08:46.964716+00:00,,Research Track,Research,notification
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Research Track,Author registration,2027-01-08,,Fri 8 Jan 2027,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-papers,2026-09-04T17:08:46.964716+00:00,,Research Track,Research,registration
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Research Track,Camera Ready,2027-01-08,,Fri 8 Jan 2027,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-papers,2026-09-04T17:08:46.964716+00:00,,Research Track,Research,camera_ready
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Registered Report (RR) Track,Authors submit an abstract of their initial report,2026-10-30,,Fri 30 Oct 2026,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-registered-report-track,2026-09-04T17:08:46.964716+00:00,,Registered Report (RR) Track,Registered Reports,abstract_submission
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Registered Report (RR) Track,Authors submit their initial report,2026-11-06,,Fri 6 Nov 2026,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-registered-report-track,2026-09-04T17:08:46.964716+00:00,,Registered Report (RR) Track,Registered Reports,other_submission
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Registered Report (RR) Track,Authors receive PC members’ reviews,2026-11-30,,Mon 30 Nov 2026,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-registered-report-track,2026-09-04T17:08:46.964716+00:00,,Registered Report (RR) Track,Registered Reports,other
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Registered Report (RR) Track,Authors submit a rebuttal letter and their revised report in a single PDF,2026-12-11,,Fri 11 Dec 2026,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-registered-report-track,2026-09-04T17:08:46.964716+00:00,,Registered Report (RR) Track,Registered Reports,author_response
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Registered Report (RR) Track,Final notification of Stage 1,2026-12-24,,Thu 24 Dec 2026,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-registered-report-track,2026-09-04T17:08:46.964716+00:00,,Registered Report (RR) Track,Registered Reports,notification
SANER 2027,saner-2027,https://conf.researchr.org/home/saner-2027,Registered Report (RR) Track,Authors submit their accepted RR report,2027-01-11,,Mon 11 Jan 2027,AoE (UTC-12:00),high,False,https://conf.researchr.org/track/saner-2027/saner-2027-registered-report-track,2026-09-04T17:08:46.964716+00:00,,Registered Report (RR) Track,Registered Reports,other_submission
